Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2024-25,76,6019,2967,3052,.493,50,12,0,1
Atlanta Hawks,NBA,1968-69,2024-25,57,4601,2269,2332,.493,37,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2024-25,79,6196,3695,2501,.596,62,35,11,18
Brooklyn Nets,NBA/ABA,1967-68,2024-25,58,4694,2054,2640,.438,31,5,2,2
Brooklyn Nets,NBA,2012-13,2024-25,13,1046,472,574,.451,8,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2024-25,35,2795,1193,1602,.427,10,0,0,0
Charlotte Hornets,NBA,2014-15,2024-25,11,875,358,517,.409,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2024-25,59,4762,2422,2340,.509,37,9,6,6
Cleveland Cavaliers,NBA,1970-71,2024-25,55,4435,2096,2339,.473,25,8,5,1
Dallas Mavericks,NBA,1980-81,2024-25,45,3625,1836,1789,.506,26,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2024-25,58,4695,2417,2278,.515,40,13,1,1
Denver Nuggets,NBA,1976-77,2024-25,49,3951,2004,1947,.507,31,10,1,1
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2024-25,77,6080,2871,3209,.472,43,11,5,3
Detroit Pistons,NBA,1957-58,2024-25,68,5461,2558,2903,.468,35,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2024-25,79,6185,3017,3168,.488,38,12,7,7
Golden State Warriors,NBA,1971-72,2024-25,54,4353,2129,2224,.489,21,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2024-25,58,4688,2421,2267,.516,35,9,4,2
Houston Rockets,NBA,1971-72,2024-25,54,4360,2302,2058,.528,34,9,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2024-25,58,4694,2407,2287,.513,38,9,1,3
Indiana Pacers,NBA,1976-77,2024-25,49,3950,1980,1970,.501,29,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2024-25,55,4442,1893,2549,.426,19,3,0,0
Los Angeles Clippers,NBA,1984-85,2024-25,41,3294,1448,1846,.440,16,3,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2024-25,77,6086,3600,2486,.592,65,34,19,17
Los Angeles Lakers,NBA,1960-61,2024-25,65,5247,3143,2104,.599,54,30,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2024-25,30,2393,1046,1347,.437,14,2,0,0
Memphis Grizzlies,NBA,2001-02,2024-25,24,1933,945,988,.489,14,2,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,.220,0,0,0,0
Miami Heat,NBA,1988-89,2024-25,37,2967,1558,1409,.525,26,16,7,3
Milwaukee Bucks,NBA,1968-69,2024-25,57,4607,2437,2170,.529,37,19,3,2
Minnesota Timberwolves,NBA,1989-90,2024-25,36,2876,1196,1680,.416,13,1,0,0
New Orleans Pelicans,NBA,2002-03,2024-25,23,1850,852,998,.461,9,1,0,0
New Orleans Pelicans,NBA,2013-14,2024-25,12,964,433,531,.449,4,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,.470,0,0,0,0
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,.474,5,1,0,0
New York Knicks,NBA/BAA,1946-47,2024-25,79,6187,3025,3162,.489,46,8,4,2
Oklahoma City Thunder,NBA,1967-68,2024-25,58,4688,2538,2150,.541,34,13,4,1
Oklahoma City Thunder,NBA,2008-09,2024-25,17,1358,793,565,.584,12,7,1,0
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,.524,22,6,3,1
Orlando Magic,NBA,1989-90,2024-25,36,2885,1356,1529,.470,18,8,2,0
Philadelphia 76ers,NBA,1949-50,2024-25,76,6023,3125,2898,.519,54,12,5,3
Philadelphia 76ers,NBA,1963-64,2024-25,62,5010,2549,2461,.509,40,9,5,2
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2024-25,57,4607,2465,2142,.535,33,8,3,0
Portland Trail Blazers,NBA,1970-71,2024-25,55,4444,2328,2116,.524,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2024-25,77,6087,2788,3299,.458,31,6,0,1
Sacramento Kings,NBA,1985-86,2024-25,40,3212,1382,1830,.430,12,3,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1967-68,2024-25,58,4693,2717,1976,.579,47,22,6,5
San Antonio Spurs,NBA,1976-77,2024-25,49,3949,2339,1610,.592,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2024-25,30,2392,1126,1266,.471,13,7,1,1
Utah Jazz,NBA,1974-75,2024-25,51,4114,2194,1920,.533,31,11,2,0
Utah Jazz,NBA,1979-80,2024-25,46,3704,2033,1671,.549,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1961-62,2024-25,64,5169,2290,2879,.443,30,8,4,1
Washington Wizards,NBA,1997-98,2024-25,28,2228,912,1316,.409,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
