Team,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Dream,2008,2025,18,578,254,324,.439,10,3,3,0
Chicago Sky,2006,2025,20,646,297,349,.460,9,4,2,1
Connecticut Sun,1999,2025,27,876,499,377,.570,17,7,3,0
Connecticut Sun,2003,2025,23,748,439,309,.587,16,7,3,0
Orlando Miracle,1999,2002,4,128,60,68,.469,1,0,0,0
Indiana Fever,2000,2025,26,844,379,465,.449,14,3,3,1
Los Angeles Sparks,1997,2025,29,934,530,404,.567,20,8,4,3
Minnesota Lynx,1999,2025,27,876,482,394,.550,15,8,7,4
New York Liberty,1997,2025,29,934,482,452,.516,19,11,8,1
Phoenix Mercury,1997,2025,29,934,468,466,.501,18,5,4,3
Las Vegas Aces,1997,2025,29,934,455,479,.487,15,6,4,2
Las Vegas Aces,2018,2025,8,238,164,74,.689,6,5,3,2
San Antonio Silver Stars,2003,2017,15,510,204,306,.400,7,1,1,0
Utah Starzz,1997,2002,6,186,87,99,.468,2,0,0,0
Seattle Storm,2000,2025,26,844,444,400,.526,19,4,4,4
Dallas Wings,1998,2025,28,906,392,514,.433,14,4,4,3
Dallas Wings,2016,2025,10,306,123,183,.402,5,1,0,0
Tulsa Shock,2010,2015,6,204,59,145,.289,1,0,0,0
Detroit Shock,1998,2009,12,396,210,186,.530,8,3,4,3
Washington Mystics,1998,2025,28,906,397,509,.438,15,3,1,1
