Team,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Dream,2008,2025,18,578,254,324,0.439,10.0,3,3.0,0.0
Chicago Sky,2006,2025,20,646,297,349,0.46,9.0,4,2.0,1.0
Connecticut Sun,1999,2025,27,876,499,377,0.57,17.0,7,3.0,0.0
Connecticut Sun,2003,2025,23,748,439,309,0.587,16.0,7,3.0,0.0
Orlando Miracle,1999,2002,4,128,60,68,0.469,1.0,0,0.0,0.0
Indiana Fever,2000,2025,26,844,379,465,0.449,14.0,3,3.0,1.0
Los Angeles Sparks,1997,2025,29,934,530,404,0.567,20.0,8,4.0,3.0
Minnesota Lynx,1999,2025,27,876,482,394,0.55,15.0,8,7.0,4.0
New York Liberty,1997,2025,29,934,482,452,0.516,19.0,11,8.0,1.0
Phoenix Mercury,1997,2025,29,934,468,466,0.501,18.0,5,4.0,3.0
Las Vegas Aces,1997,2025,29,934,455,479,0.487,15.0,6,4.0,2.0
Las Vegas Aces,2018,2025,8,238,164,74,0.689,6.0,5,3.0,2.0
San Antonio Silver Stars,2003,2017,15,510,204,306,0.4,7.0,1,1.0,0.0
Utah Starzz,1997,2002,6,186,87,99,0.468,2.0,0,0.0,0.0
Seattle Storm,2000,2025,26,844,444,400,0.526,19.0,4,4.0,4.0
Dallas Wings,1998,2025,28,906,392,514,0.433,14.0,4,4.0,3.0
Dallas Wings,2016,2025,10,306,123,183,0.402,5.0,1,0.0,0.0
Tulsa Shock,2010,2015,6,204,59,145,0.289,1.0,0,0.0,0.0
Detroit Shock,1998,2009,12,396,210,186,0.53,8.0,3,4.0,3.0
Washington Mystics,1998,2025,28,906,397,509,0.438,15.0,3,1.0,1.0
Charlotte Sting,1997,2006,10,322,143,179,0.444,6.0,1,1.0,0.0
Cleveland Rockers,1997,2003,7,220,108,112,0.491,4.0,2,0.0,0.0
Golden State Valkyries,2025,2025,1,0,0,0,,,1,,
Houston Comets,1997,2008,12,390,241,149,0.618,9.0,3,4.0,4.0
Miami Sol,2000,2002,3,96,48,48,0.5,1.0,0,0.0,0.0
Portland Fire,2000,2002,3,96,37,59,0.385,0.0,0,0.0,0.0
Sacramento Monarchs,1997,2009,13,424,224,200,0.528,9.0,1,2.0,1.0
